Episode,P5.0_Done,P5.0_Flow,P5.0_MK,P5.0_GA,P10.0_Done,P10.0_Flow,P10.0_MK,P10.0_GA,P20.0_Done,P20.0_Flow,P20.0_MK,P20.0_GA,P50.0_Done,P50.0_Flow,P50.0_MK,P50.0_GA
0,37,199.49404710615005,513.5637988471985,481.51937317848206,37,203.42011665988613,515.5482818508149,480.7267282009125,34,200.70701411387498,501.55743545532226,447.98988103866577,33,211.2543726447134,484.1150912666321,337.5789737701416
1,32,225.95935881882906,532.5593693923951,534.3848178386688,33,223.55186174277105,511.5411854457855,507.6977415084839,33,229.42119513974046,528.9783216190339,492.92322278022766,35,197.54451779501778,489.4788382720947,387.6834592819214
2,32,188.32291646510365,465.75716227531433,479.1141881942749,32,179.41926037102937,495.25060457229614,475.33432698249817,34,186.4909116447673,497.0217918777466,419.6430866718292,36,175.87471269369127,486.4136578464508,346.4793210029602
3,27,187.3676667888076,470.34368650436403,487.7788770198822,27,215.0003991791054,514.3850686,519.7687964439392,25,198.7015427745819,476.88017837524416,473.83342027664185,29,209.27708093741848,519.5941385,446.1179562
4,36,190.25240247832403,498.4253026485443,491.27479338645935,38,200.52147803130904,523.7537278175354,466.91883540153503,35,192.08580817168104,468.1109496593475,416.9055633544922,39,203.41554510018764,475.6913556098938,281.36902952194214
5,38,194.62581973326837,481.73197204589843,476.77711629867554,38,203.63467854650398,498.2916784954071,489.01103377342224,37,216.2007452993135,512.8849302005768,468.50139260292053,41,202.16188477144004,486.67343170166015,287.87890791893005
6,30,211.35896373939516,540.9432126808166,547.9270021915436,26,193.17206320946036,486.38825624465943,460.3770227432251,29,189.42912964196037,492.01551955223084,454.12618589401245,30,194.2431136042277,497.77979486465455,427.7315790653229
7,36,204.17900079780154,513.0642239570618,500.9063448905945,34,199.57384114798376,522.9185690402985,498.8780360221863,32,175.53075472354888,484.6392967224121,445.8830029964447,32,192.06526938647033,516.4090837955475,408.9457712173462
8,33,184.38081748442215,508.64954738616944,487.24350571632385,35,193.81028423963275,516.1210194,490.1877133846283,37,184.33060770576063,508.9435890197754,441.0236213207245,33,185.84293960397892,490.40362601280214,330.76141333580017
9,31,212.38081934775076,514.7210026359558,506.69454550743103,31,209.55751946541574,513.5638073062896,473.16107964515686,32,218.09881637364626,517.5559404468536,473.7536449432373,33,205.6477461791761,510.23576265335083,379.2239372730255
10,31,196.25281313250142,512.3083117961884,515.4530348777771,33,194.2712958168261,509.73450169563296,515.6329927444458,28,177.21945376225884,460.6386991500855,466.8960545063019,36,178.49935482978822,494.01852068901064,420.6245105266571
11,37,209.9219322,525.6386621665955,513.0063450336456,40,201.7047828140259,517.8682501983643,465.7814302444458,40,199.0798824439049,522.7245331478119,453.3379182815552,35,186.9529297114781,486.6886397075653,343.8466989994049
12,31,201.79295514783553,493.7272261047363,494.61391377449036,31,166.2608244803644,469.45161684989927,456.46468591690063,33,198.24248175678832,510.77968391418455,463.38528871536255,32,196.4019316831231,481.17329558372495,356.70533871650696
13,33,197.75064277706724,515.7907786273956,514.1699497699738,29,201.35204422917857,473.48546599388123,473.3825252056122,35,181.35025802775792,515.3974392318726,447.7244050502777,35,188.31064505904058,493.1349098587036,357.2605140209198
14,31,195.6438289199337,514.3298100280762,499.98996210098267,35,195.7497514,507.1465560245514,473.13686084747314,34,194.98038313444923,507.41393626213073,459.75875091552734,31,205.66100294236213,499.7192767906189,390.72593808174133
15,35,198.81554946763174,508.81090889930726,500.8299505710602,34,191.76220449054944,511.75854550361635,490.5152521133423,34,169.4751531606562,478.7203119850159,400.33909702301025,37,180.7484808658909,513.3381467914581,372.4128863811493
16,40,198.58276837730406,501.38133323669433,479.5706264972687,39,198.6940692287836,516.9338187026977,481.41304421424866,35,192.05237134197782,486.7404972362518,459.09561920166016,38,201.31674987316129,492.9833065319061,313.9596402645111
17,30,205.89515546258292,527.1557252311707,524.3678846359253,28,223.64552265371597,517.4247825050354,516.0485699176788,26,195.44522943423345,512.5001437568665,458.92954683303833,24,190.71656812588375,461.02428292274476,387.71704030036926
18,31,189.29731161609772,494.8770464420319,503.6564288139343,33,184.20067200978596,504.5449760913849,463.56265139579773,29,193.57615222536282,511.4892893791199,446.8200132846832,35,209.7028515447889,514.0743072986603,390.6834144592285
19,30,190.12780760478972,522.3527994728088,506.63160824775696,27,171.0450011645423,470.6471250629425,467.5583632,33,172.69388523217407,484.3875957107544,423.63855147361755,33,188.2324321567651,493.9032650566101,399.5576972961426
20,37,203.21427085541393,520.1836299514771,510.66785860061646,36,214.84509354432421,524.6658992385865,508.11539030075073,33,219.88818710673937,508.34451266288755,449.86710000038147,33,200.8349592,489.04470463752745,335.4009499549866
21,33,194.33920459718414,505.3024048805237,487.75339102745056,31,196.2532090673139,513.5365777015686,479.9019966125488,32,190.93683214724064,498.6064250469208,452.3668284416199,24,205.6035467584928,478.5365729,406.2443037033081
22,35,210.5363908,512.9659594631195,491.7241892814636,33,197.2192761661067,502.2492848968506,479.8043406009674,30,195.33511207612355,478.70080891609194,451.1862609386444,39,199.1278183335524,490.9277498,340.3667242527008
23,38,191.3818671,511.00819052696227,482.74915313720703,35,190.34010925265721,503.4685138607025,480.4001750946045,36,177.32279141955905,522.3999372863769,455.3882318,37,192.62885195268163,484.88786376953124,317.9609434604645
24,38,175.97969084463622,468.60096596717835,463.83699226379395,37,195.59664782601436,489.21401690483094,473.22667145729065,34,182.5624886044334,458.0514607334137,435.87476778030396,34,192.09112097123088,482.70268033981324,348.6937983036041
25,32,212.16923124819996,538.9449828147888,524.6367542743683,32,190.23385948598383,501.03340463638307,484.0914976596832,31,198.97136667343875,531.2589529037475,499.5567138195038,31,179.76390983396965,469.8127613544464,419.0232558250427
26,32,202.56296330362557,517.1952069568634,494.49306631088257,28,188.3905543242182,486.5940502,471.1659393310547,28,216.06608865295138,540.2847434,491.9781115055084,32,199.2597716,491.8961199092865,433.85212874412537
27,31,210.39519294461897,511.1997121524811,533.6490836143494,30,210.76392972787218,482.4427963447571,482.7112464904785,26,220.33685878203465,510.40172516822815,489.4626932144165,33,204.18868164120298,486.46173226356507,399.2667167186737
28,33,190.94838591026536,496.13719420433046,485.09318256378174,39,197.29224570518886,509.4389443874359,479.25566720962524,39,199.12538195976848,472.44745926856996,424.05271887779236,35,199.06149791526798,487.97541813850404,297.38190937042236
29,29,212.12724702012952,524.2818382644654,515.4288532733917,30,201.81189457416534,466.9078539276123,487.50393056869507,31,203.52738824136796,507.27492865562436,467.1862542629242,29,241.1024633407593,529.1095519924164,453.5287711620331
30,36,209.92457471370696,497.51875071525575,486.4676921367645,36,216.16439240588082,525.5978732585907,500.6596882343292,32,232.6904584285617,524.0543568611145,497.9294135570526,33,212.3811295778101,495.3303645133972,345.7583227157593
31,33,202.3067841645443,517.4780119132996,515.2433245182037,33,195.95305622996705,525.3915780258179,537.4839398860931,33,196.14402735912438,521.5890393924714,480.4736068248749,37,174.71291921177425,488.6651578617096,354.33596324920654
