Episode,AI_Done(%),Fix_Done(%),AI_Flow,Fix_Flow,AI_Makespan,Fix_Makespan,AI_GA_Time,Fix_GA_Time,Winner
0,47.87234042553192,56.38297872340425,263.51111111111106,234.79999999999998,494.38,498.38,1.5516732130781747,0.2730335730011575,Fix
1,39.21568627450981,53.92156862745098,251.08175,212.76654545454542,491.52,491.77,2.7126371519989334,0.2748489770165179,Fix
2,46.22641509433962,53.77358490566038,278.2720408163266,223.5924561403509,497.14,480.14,0.9760253950080369,0.30313180398661643,Fix
3,33.0188679245283,47.16981132075472,252.49971428571428,228.65300000000002,495.39,490.94,1.2077191849530209,0.3118358940118924,Fix
4,0.0,52.083333333333336,1000.0,218.60519999999997,1000.0,489.34,0.0,0.2608378139848355,Fix
5,55.0561797752809,55.0561797752809,246.10102040816324,205.23897959183677,490.33,492.33,1.3008649220282678,0.24587439198512584,Fix
6,43.80952380952381,45.714285714285715,274.38956521739135,234.42291666666665,497.03,496.03,1.218659296981059,0.30532917502569035,Fix
7,44.11764705882353,44.11764705882353,253.14533333333335,219.26133333333325,490.38,497.38,1.935750629985705,0.28005448399926536,Fix
8,39.0,49.0,259.01923076923083,211.2361224489796,486.1,487.13,0.9374655950232409,0.2720193980203476,Fix
9,42.69662921348314,57.30337078651685,245.46605263157892,198.4237254901961,488.69,487.69,1.4721173759899102,0.24513084499631077,Fix
