routing_iters,collision_iters,pop_size,generations,makespan,solve_time
1000,20,20,20,716.8,8.142324227513745
1000,20,20,50,710.6,8.447479915386065
1000,20,20,100,648.9,7.8185041210032065
1000,20,20,150,698.8,8.075139738211874
1000,20,20,200,689.2,8.648202329897321
1000,20,20,250,750.2,9.051752997003495
1000,20,20,300,706.2,8.299063409911469
1000,20,50,20,720.2,8.074296866892837
1000,20,50,50,685.6,8.477429571328685
1000,20,50,100,701.9,8.209237516194117
1000,20,50,150,715.1,9.887568340101279
1000,20,50,200,714.0,9.436872506397776
1000,20,50,250,699.3,9.866606884275097
1000,20,50,300,654.7,9.93367449939251
1000,20,100,20,697.7,7.564230326702818
1000,20,100,50,729.8,8.741295181878376
1000,20,100,100,691.9,9.798025827691891
1000,20,100,150,718.1,10.433850163500756
1000,20,100,200,675.7,10.849738557613454
1000,20,100,250,679.1,11.8224107914255
1000,20,100,300,709.2,13.285910094506107
1000,20,150,20,662.8,7.981532950908877
1000,20,150,50,738.2,9.604983214021194
1000,20,150,100,710.0,10.636591057199984
1000,20,150,150,726.8,12.440140672784764
1000,20,150,200,709.5,12.960436728713102
1000,20,150,250,732.3,14.231339308526367
1000,20,150,300,710.3,16.816303873702417
1000,20,200,20,716.9,8.438646162115038
1000,20,200,50,712.8,8.979095605004114
1000,20,200,100,713.5,11.514924733398948
1000,20,200,150,688.1,13.165399815724232
1000,20,200,200,669.0,14.746195844491012
1000,20,200,250,694.7,16.407398536778054
1000,20,200,300,721.8,18.73221521283267
