Event_Index,Makespan,Computation_Time
0,462.00,3.8458
1,468.00,3.4648
2,435.00,4.1184
3,406.00,4.1613
4,510.00,4.1649
5,487.00,4.4548
6,453.00,3.5432
7,525.00,3.5616
8,546.00,3.9364
9,551.00,3.3010
10,470.00,4.1602
11,488.00,3.9285
12,469.00,3.4820
13,502.00,2.6481
14,553.00,3.8828
15,488.00,4.5364
16,442.00,4.0181
17,514.00,5.3641
18,449.00,2.9572
19,464.00,2.9468
20,567.00,4.5568
21,515.00,4.2618
22,533.00,3.4779
23,540.00,4.6561
24,457.00,2.9207
25,524.00,3.4339
26,458.00,3.6274
27,484.00,4.2366
28,475.00,4.2406
29,463.00,3.4768
30,469.00,3.9294
31,511.00,2.9308
32,502.00,4.5394
33,478.00,3.7241
34,567.00,3.6805
35,506.00,3.4257
36,486.00,3.7164
37,465.00,3.9615
38,513.00,3.7967
39,535.00,3.5353
40,472.00,3.6337
41,486.00,4.1870
42,508.00,4.4929
43,503.00,2.4721
44,509.00,3.7274
45,459.00,3.4285
46,546.00,3.0187
47,471.00,4.7406
48,465.00,4.0541
49,465.00,4.6783
