Event_Index,Makespan,Computation_Time
0,565.00,35.3411
1,649.00,34.8429
2,608.00,36.4524
3,600.00,33.4952
4,682.00,36.2717
5,617.00,39.2203
6,559.00,32.4947
7,698.00,41.0673
8,626.00,40.3352
9,674.00,40.0846
10,668.00,35.0142
11,647.00,35.0196
12,614.00,39.4743
13,696.00,38.2679
14,691.00,43.4324
15,600.00,38.6835
16,592.00,35.8112
17,567.00,34.9935
18,501.00,37.2788
19,581.00,36.0626
20,713.00,36.8790
21,628.00,38.3178
22,702.00,40.7205
23,707.00,37.9754
24,542.00,35.2264
25,598.00,37.3647
26,643.00,38.0937
27,658.00,38.1958
28,581.00,39.1294
29,558.00,37.3898
30,621.00,37.2718
31,620.00,35.5942
32,613.00,38.5521
33,607.00,40.9233
34,715.00,36.9070
35,670.00,39.6744
36,557.00,35.4235
37,635.00,35.9040
38,641.00,37.1407
39,639.00,36.5102
40,649.00,35.6419
41,657.00,40.1689
42,616.00,38.6980
43,635.00,38.7422
44,598.00,35.6581
45,545.00,34.0666
46,660.00,41.5359
47,580.00,38.6126
48,587.00,33.2177
49,642.00,36.0184
