test_set,event,jobs,GA_makespan,GA_seconds,GNN_old_raw,GNN_old_plus_LS,GNN_old_seconds,GNN_new_raw,GNN_new_plus_LS,GNN_new_seconds
60 (held-out),950,60,436.0,6.489,580.0,560.0,0.419,596.0,464.0,0.408
60 (held-out),951,60,494.0,6.917,627.0,544.0,0.420,551.0,487.0,0.392
60 (held-out),952,60,499.0,6.715,666.0,534.0,0.408,612.0,549.0,0.414
60 (held-out),953,60,523.0,6.555,592.0,505.0,0.454,580.0,562.0,0.414
60 (held-out),954,60,490.0,6.867,674.0,519.0,0.517,587.0,530.0,0.386
60 (held-out),955,60,502.0,6.428,579.0,481.0,0.390,605.0,513.0,0.383
60 (held-out),956,60,442.0,6.547,577.0,526.0,0.479,586.0,531.0,0.399
60 (held-out),957,60,454.0,6.602,559.0,509.0,0.412,546.0,472.0,0.398
60 (held-out),958,60,423.0,6.393,583.0,442.0,0.394,507.0,461.0,0.411
60 (held-out),959,60,487.0,6.576,621.0,434.0,0.420,529.0,453.0,0.374
60 (held-out),960,60,546.0,6.828,616.0,605.0,0.443,539.0,489.0,0.397
60 (held-out),961,60,531.0,6.978,648.0,506.0,0.461,579.0,608.0,0.429
60 (held-out),962,60,452.0,6.507,558.0,414.0,0.453,543.0,483.0,0.421
60 (held-out),963,60,492.0,6.615,644.0,511.0,0.470,677.0,511.0,0.402
60 (held-out),964,60,453.0,6.469,631.0,480.0,0.395,538.0,499.0,0.400
60 (held-out),965,60,412.0,6.541,622.0,469.0,0.401,534.0,445.0,0.386
60 (held-out),966,60,486.0,6.683,621.0,492.0,0.399,530.0,516.0,0.401
60 (held-out),967,60,474.0,6.439,577.0,534.0,0.427,569.0,535.0,0.395
60 (held-out),968,60,465.0,6.515,606.0,607.0,0.418,576.0,481.0,0.379
60 (held-out),969,60,525.0,6.597,610.0,492.0,0.477,656.0,464.0,0.422
60 (held-out),970,60,625.0,6.798,624.0,644.0,0.418,581.0,503.0,0.413
