epoch,minutes,train_mean_makespan,val_makespan,best_val
0,0,,917.48,917.48
25,1.03,639.96,595.60,595.60
50,2.06,617.88,594.78,594.78
75,3.09,605.34,585.60,585.60
100,4.12,596.45,590.56,585.60
125,5.15,586.54,602.72,585.60
150,6.17,582.51,593.24,585.60
175,7.19,595.16,581.30,581.30
200,8.21,585.34,588.28,581.30
225,9.24,581.09,581.22,581.22
250,10.26,590.37,568.12,568.12
275,11.28,580.73,575.48,568.12
300,12.30,588.26,569.48,568.12
325,13.32,580.08,580.28,568.12
350,14.33,584.99,575.74,568.12
375,15.36,591.77,586.96,568.12
400,16.38,580.95,578.82,568.12
425,17.41,584.46,576.66,568.12
450,18.43,578.24,575.42,568.12
475,19.44,598.22,575.02,568.12
500,20.54,581.43,573.62,568.12
525,21.82,575.52,570.04,568.12
550,22.84,566.61,572.92,568.12
575,23.84,571.29,576.48,568.12
600,24.85,568.78,579.52,568.12
625,25.87,567.04,576.86,568.12
650,26.90,575.60,577.96,568.12
675,27.92,579.19,573.08,568.12
700,28.94,586.35,574.72,568.12
725,29.96,589.88,573.62,568.12
750,30.99,580.27,568.90,568.12
775,32.00,575.55,572.62,568.12
800,33.01,580.11,576.04,568.12
825,34.03,580.49,574.88,568.12
850,35.03,584.27,587.92,568.12
875,36.04,580.76,581.42,568.12
900,37.06,578.96,574.02,568.12
925,38.07,584.01,575.16,568.12
950,39.09,584.49,583.72,568.12
975,40.11,586.32,572.16,568.12
1000,41.11,578.39,570.50,568.12
1025,42.12,588.68,562.60,562.60
1050,43.13,578.78,566.72,562.60
1075,44.14,568.65,574.06,562.60
1100,45.15,592.91,570.90,562.60
1125,46.16,581.91,568.78,562.60
1150,47.17,582.85,576.04,562.60
1175,48.18,577.06,571.62,562.60
1200,49.18,566.97,570.06,562.60
1225,50.19,586.34,573.96,562.60
1250,51.20,573.87,565.08,562.60
1275,52.22,601.83,579.50,562.60
1300,53.23,578.81,570.12,562.60
1325,54.25,585.72,569.68,562.60
1350,55.27,589.15,570.32,562.60
1375,56.29,573.68,572.92,562.60
1400,57.29,580.20,574.56,562.60
1425,58.31,579.61,574.86,562.60
1450,59.33,585.85,569.00,562.60
1475,60.36,572.60,573.58,562.60
1500,61.38,578.52,570.42,562.60
1525,62.40,567.28,573.90,562.60
1550,63.41,589.95,594.30,562.60
1575,64.44,586.62,610.82,562.60
1600,65.46,581.84,603.76,562.60
1625,66.47,586.89,614.26,562.60
1650,67.50,599.34,606.06,562.60
1675,68.52,580.89,572.70,562.60
1700,69.54,576.88,572.16,562.60
1725,70.56,582.88,579.22,562.60
1750,71.59,584.60,580.54,562.60
1775,72.62,585.09,576.44,562.60
1800,73.69,591.75,586.92,562.60
1825,75.03,577.36,621.92,562.60
1850,77.27,633.11,651.80,562.60
1875,78.84,601.50,573.78,562.60
1900,80.30,575.64,565.98,562.60
1925,81.81,583.66,610.42,562.60
1950,83.22,592.45,568.74,562.60
1975,84.65,578.93,560.74,560.74
2000,86.08,569.46,564.32,560.74
2025,87.55,570.76,569.68,560.74
2050,89.00,585.67,573.72,560.74
